row_id,id,event_date,firearm_name,range_name,rounds_fired,ammo_description,notes,created,modified
289,01KWG95NTNVXB3PRJ67RF48R8C,2019-10-04 20:05:22.1331858,RPRimfire,Phoenix,80,Sterling Cross,Lightened up the trigger.  1 failure-to-extract. Had -0.25MOA/-0.25MOA. Could get good groups (all rounds touching).,2026-07-02 02:05:22.1337161+00:00,2026-07-02 02:05:22.1337178+00:00
290,01KWG95NTQ2B4CD3SWVH58K18B,2019-10-10 20:05:22.1339923,Remington 597,Phoenix,30,Sterling Cross,Practicing on the Mapleseed 25m target.  Scope adjustments were approx +1.5MOA/+1MOA,2026-07-02 02:05:22.1354326+00:00,2026-07-02 02:05:22.1354345+00:00
291,01KWG95NTR1F4D0V2ZZGTF5G7V,2019-10-10 20:05:22.1356884,Remington 597,Phoenix,40,Winchester M22,Practicing on the Mapleseed 25m target.  No scope adjustments,2026-07-02 02:05:22.136832+00:00,2026-07-02 02:05:22.1368338+00:00
292,01KWG95NTTSQXJ7JHQKVFTW444,2019-10-11 20:05:22.1371215,Remington 597,Phoenix,90,Winchester M22,"Practicing on Mapleeed 25m Targets. Tried shooting from left shoulder: Groups very loose, had to use +1MOA wind",2026-07-02 02:05:22.1382595+00:00,2026-07-02 02:05:22.1382613+00:00
293,01KWG95NTWEVF0R5R5KWG2B2Y3,2019-10-11 20:05:22.1385024,Remington 597,Phoenix,10,Remington Yellow Jacket,I think it was yellow jacket?,2026-07-02 02:05:22.1404093+00:00,2026-07-02 02:05:22.1404126+00:00
294,01KWG95NTXXXBEC81FFH1D2KNG,2019-10-13 20:05:22.14076,RPRimfire,"",0,"",Tinfoil tape bedding jbo performed.,2026-07-02 02:05:22.1413301+00:00,2026-07-02 02:05:22.141332+00:00
295,01KWG95NTY89VV0MT8AYWQ6WZP,2019-10-14 20:05:22.1415748,RPRimfire,SPFGA,100,Sterling Cross,100m was +7MOA elevation.,2026-07-02 02:05:22.1421597+00:00,2026-07-02 02:05:22.1421615+00:00
296,01KWG95NTY89VV0MT8AYWQ6WZY,2019-10-14 20:05:22.142424,STAG-10,SPFGA,19,Norinco 147gr,Just shooting at 100m. Could hit the 200m gong.,2026-07-02 02:05:22.14285+00:00,2026-07-02 02:05:22.1428523+00:00
297,01KWG95NTZ6QYTP6FFCCKJPEPR,2019-10-14 20:05:22.1430911,STAG-10,SPFGA,20,165gr Nosler,Shoots a touch high,2026-07-02 02:05:22.1435269+00:00,2026-07-02 02:05:22.1435286+00:00
298,01KWG95NV0B723QZE7G0494VFA,2019-10-14 20:05:22.1437476,RPRimfire,"",0,"",Cleaned the RPRimfire,2026-07-02 02:05:22.1443254+00:00,2026-07-02 02:05:22.1443271+00:00
299,01KWG95NV1FXHWSMEYVWYSQT67,2019-10-16 20:05:22.1445661,RPRimfire,Phoenix,20,CCI (Just Choot 'em),Good groupings (basically on hole ~ 1.5diameters)',2026-07-02 02:05:22.1451906+00:00,2026-07-02 02:05:22.1451924+00:00
300,01KWG95NV2CXC2HR54DQ73S9KF,2019-10-16 20:05:22.1454417,RPRimfire,Phoenix,50,Hornady Varmint,Good groupings (basically on hole ~ 1.5diameters)'. Windage -0.75MOA,2026-07-02 02:05:22.1460699+00:00,2026-07-02 02:05:22.1460717+00:00
301,01KWG95NV39J0Y10XGRP147FYC,2019-10-23 20:05:22.1463188,Remington 597,Phoenix,100,Winchester M22,Open groups. +0.75MOA/+1.25MOA (approx.),2026-07-02 02:05:22.1475578+00:00,2026-07-02 02:05:22.1475597+00:00
302,01KWG95NV5KR4XS4R4XJT8ZBEF,2019-10-23 20:05:22.1478324,Remington 597,"",0,"","Cleaned rifle.  Action screws to 45 in-lb, and the guide rod screws to 10 in-lb.",2026-07-02 02:05:22.1495561+00:00,2026-07-02 02:05:22.1495588+00:00
